number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16058734,2993986867802,145292649666110527220899379,173823881943962260727297,48596726019517,294716061107,39688733270094186997101,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16451932036356995828672,1215682586603568880663
16059034,2997535922219,145408613813543582737329814,173823881943962260727297,48810098959533,293531442812,39674286873816594872504,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16468343228914267151144,1218787512194039547067
16059334,2998404781647,145541322303798898530731508,173832897610793534509531,48453852852551,293310369986,40002732734749174651043,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16486977612315648232759,1218472920180995359735
16059634,3000521026896,145628656255844718219381668,173829622771035490284496,48368487112800,295475363712,39778305279465614968302,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16502850549105755205588,1219854792354704468621
16059934,2998037693542,145629341907401538001446708,173829624774044555678922,48381162712432,294410292905,39912563068011408722884,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16484072106905583248112,1218202567745154785258
16060234,2997691072283,145629793789697424395433158,173829625064938613143364,48238134346878,293987225195,40087840605745537257540,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16493893051719864355499,1217043750312188011682
16060534,2991113788310,145213321440683097812314530,173829625064938613143364,48440706663080,295210934871,39754658396562501713839,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16457403460064245812786,1211749483404383338768
16060834,2994421204539,145330082406745116051382551,173829625064938613143364,48697599269526,294414257141,39651866840590595194376,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16472783081620298828050,1214625750979203856219
16061134,2994454809907,145307294463351235529925034,173799800150339915459630,48260944168696,294788458630,39941783537324386270692,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16470417938904410237701,1214789407360729264687
16061434,2996179999231,145307983113598735802498980,173799800197853554535095,48696118824084,293691342742,39732839526894916198317,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16482993527189577101733,1215950811981279997702
