number,value,ETH / USD,STETH / ETH ETH/USD Composite
15000047,10556,112137265236,105221765695
15000347,10556,112904000000,105941215965
15000647,10556,113467894563,106470335178
15000947,10556,115600648444,108471562234
15001247,10556,115231839250,108125497485
15001547,10607,116520880000,109865069674
15001847,10607,115177363529,108598296451
15002147,10607,114794850535,108237633051
15002447,10607,114801692631,108244084319
15002747,10607,117890835845,111156772023
15003047,10607,117010967687,110327162973
15003347,10607,116674585000,110009994863
15003647,10607,114684932735,108133993886
15003947,10607,112586690000,106155605255
15004247,10607,112113500000,105709444427
15004547,10607,112754000000,106313358310
15004847,10607,112521000000,106093667545
15005147,10607,111755000000,105371422370
15005447,10607,110247880000,103950390845
15005747,10607,108746873414,102535123529
15006047,10607,110377287628,104072406556
15006347,10607,107540000000,101397188150
15006647,10607,107403409898,101268400236
15006947,10651,108370371258,102605804078
15007247,10651,109039550000,103239387059
15007547,10651,109796347578,103955928150
15007847,10651,109336998653,103521013466
15008147,10651,111211658094,105295953766
15008447,10651,105869376026,100237844794
15008747,10651,108235185776,102477809545
15009047,10651,108678395500,102897443524
15009347,10651,106891186268,101205301676
15009647,10651,105384141267,99778421226
15009947,10651,105726811089,100102863342
15010247,10651,105553949086,99939196423
15010547,10651,109189461490,103381324277
15010847,10651,108862964389,103072194603
15011147,10651,107812000000,102077134376
15011447,10651,108567391733,102792344403
15011747,10651,110183500000,104322486695
15012047,10651,109796583976,103956151973
15012347,10659,109798716754,104037666892
15012647,10659,110887000000,105068848796
15012947,10659,111775862713,105911073601
15013247,10659,111567000000,105713169746
15013547,10659,110815650000,105001242473
15013847,10659,108905032684,103190873702
15014147,10659,109373083469,103634366241
15014447,10659,110536934418,104737150872
15014747,10659,113278812851,107335165161
15015047,10659,112637350857,106727360159
15015347,10659,114064000000,108079154176
15015647,10659,114951000000,108919614003
15015947,10659,115184131851,109140513614
15016247,10659,115610534390,109544543157
15016547,10659,114991291349,108957791298
15016847,10659,113849148662,107875575914
15017147,10659,113397620000,107447738595
15017447,10659,115456000000,109398117062
15017747,10808,114599825504,110106203614
15018047,10808,117257965600,112660114262
15018347,10808,121859395000,117081115081
15018647,10808,120673855555,115942062321
15018947,10808,119969000000,115264845154
15019247,10808,119113100201,114442506401
15019547,10808,120503674595,115778554398
15019847,10808,121761000000,116986578289
15020147,10808,122440839599,117639760412
15020447,10808,122441629007,117640518866
15020747,10808,123180000000,118349937284
15021047,10808,121828000000,117050951124
15021347,10808,122164995921,117374732956
15021647,10808,120881210621,116141286701
15021947,10808,121740500000,116966882123
15022247,10808,122457500000,117655767535
15022547,10808,122965000000,118143367739
15022847,10808,122753650158,117940305225
15023147,10857,122755893952,118473301247
15023447,10857,122493090000,118219665754
15023747,10857,119692653882,115516928629
15024047,10857,120239000000,116044214335
15024347,10857,119718429011,115541804540
15024647,10857,119315662289,115153089166
15024947,10857,119716457235,115539901553
15025247,10857,120742898992,116530533771
15025547,10857,120835000000,116619421645
15025847,10857,124396514501,120056685363
15026147,10857,124242580456,119908121625
15026447,10857,123946000000,119621887990
15026747,10857,123486900000,119178804641
15027047,10857,123134491892,118838691017
15027347,10857,123951058211,119626769735
15027647,10857,123652000000,119338144787
15027947,10857,124207894438,119874645700
15028247,10857,124424924515,120084104235
15028547,10822,124556087792,119823503257
15028847,10822,126573340158,121764108888
15029147,10822,123904000000,119196191938
15029447,10822,123093000000,118416006378
15029747,10822,122204495594,117561261239
15030047,10822,122326934975,117679048461
15030347,10822,121648000000,117025910034
15030647,10822,122644000000,117984066407
15030947,10822,124114590607,119398781026
15031247,10822,121489911714,116873828409
15031547,10822,119781704927,115230525981
15031847,10822,121276625409,116668646047
15032147,10822,122040009676,117403025063
15032447,10822,122004000000,117368383597
15032747,10822,121722550000,117097627461
15033047,10822,121592170000,116972201329
15033347,10822,122444951551,117792580925
15033647,10869,122924000000,118770237897
15033947,10869,123365065000,119196398736
15034247,10869,122101553604,117975583036
15034547,10869,121253420857,117156109799
15034847,10869,118133730000,114141837361
15035147,10869,118764000000,114750809716
15035447,10869,119018860000,114997057665
15035747,10869,120658150000,116580953920
15036047,10869,119732805182,115686877709
15036347,10869,120349148795,116282394268
15036647,10869,120623000000,116546991684
15036947,10869,119208840000,115180617993
15037247,10869,118890000000,114872552012
15037547,10869,117249680000,113287660562
15037847,10869,118096016228,114105397986
15038147,10869,118532173161,114526816608
15038447,10869,119860310978,115810074918
15038747,10869,120672000000,116594335910
15039047,10829,122423243507,117843938306
15039347,10829,122047000000,117481768383
